Year,UK,UK trend,England,England trend,Wales,Wales trend,Scotland,Scotland trend,Northern Ireland,Northern Ireland trend
1960,0.455573333,-1.3537688,2.808950667,-0.589475911,2.185430667,-1.3400928,-3.962568333,-2.804580178,0.423467,-0.392804133
1961,-2.019706667,-1.377398933,-1.815109333,-0.624027733,-3.486579333,-1.379800844,-2.327758333,-2.802947911,-0.115243,-0.431115333
1962,-1.506526667,-1.399727067,-2.086529333,-0.652140444,-2.297989333,-1.413274,-0.565668333,-2.808375822,-0.136833,-0.476638622
1963,-2.861236667,-1.426137511,-2.184789333,-0.671984978,-4.563009333,-1.434589556,-4.222418333,-2.840972978,0.932907,-0.538187067
1964,-3.156006667,-1.441169689,-2.987069333,-0.678100267,-3.838829333,-1.434621378,-3.513618333,-2.864321333,-1.829793,-0.613754444
1965,-0.701436667,-1.4389488,-0.006219333,-0.665590667,1.313740667,-1.412007422,-2.561588333,-2.871481067,0.211987,-0.686027689
1966,-0.312026667,-1.4387996,0.177170667,-0.650469689,-1.815979333,-1.403789511,-1.143308333,-2.880380222,1.892437,-0.788266622
1967,-0.071826667,-1.432857644,0.943200667,-0.626716578,1.386130667,-1.369230311,-1.827098333,-2.891275022,-1.928213,-0.897764444
1968,-0.236856667,-1.421881022,1.043460667,-0.604112,0.307370667,-1.329698533,-2.675788333,-2.887174533,0.504177,-1.0006512
1969,-1.682036667,-1.4159308,0.163620667,-0.594132222,-0.630639333,-1.300570622,-4.659898333,-2.871423956,-3.856873,-1.122530444
1970,-1.899156667,-1.399503333,-1.909529333,-0.587247511,-2.124369333,-1.263436089,-1.775458333,-2.825123822,-2.235983,-1.215368578
1971,-1.740046667,-1.383716178,-0.165429333,-0.581193244,-1.324389333,-1.229010622,-4.469558333,-2.780243467,-1.929383,-1.299895111
1972,-2.985296667,-1.363202978,-1.997609333,-0.5814268,-0.607209333,-1.198201111,-5.516888333,-2.713503422,-1.674153,-1.358981689
1973,-2.029696667,-1.3241228,-1.445129333,-0.570253689,-2.296529333,-1.174436622,-2.991648333,-2.608231333,-1.771033,-1.405754489
1974,-1.524776667,-1.280717689,-0.293059333,-0.560303956,-0.661949333,-1.150944178,-3.675198333,-2.491981733,-2.303013,-1.426763422
1975,-2.880856667,-1.2238852,-1.863199333,-0.535433244,-3.901499333,-1.108350444,-3.882678333,-2.365728178,-5.470073,-1.438130889
1976,-1.716766667,-1.138068311,-0.736289333,-0.490409022,-3.273779333,-1.0243368,-3.252408333,-2.203359511,-0.082173,-1.394776622
1977,-0.946276667,-1.048761156,-0.315109333,-0.4519064,-1.253309333,-0.927338533,-1.727528333,-2.022596444,-2.205173,-1.351106533
1978,-1.422316667,-0.954881467,-1.115069333,-0.416532222,-3.012789333,-0.828610044,-1.894298333,-1.8256728,0.640937,-1.289264222
1979,-0.530916667,-0.8562072,0.125990667,-0.372866489,-0.457989333,-0.724754489,-1.609338333,-1.629769911,-0.682423,-1.222811911
1980,-0.186966667,-0.772584489,0.411500667,-0.348094222,0.019010667,-0.634251333,-0.854648333,-1.4432848,-2.461433,-1.170467911
1981,0.916173333,-0.691881956,1.253110667,-0.329638578,1.987460667,-0.546924622,-0.059848333,-1.2600444,1.647447,-1.0859796
1982,1.060973333,-0.631517689,0.684780667,-0.3317052,2.504960667,-0.500035556,1.546841667,-1.093828,-0.440723,-1.009503378
1983,-1.292626667,-0.5841484,-0.930829333,-0.340284044,0.089850667,-0.475772178,-1.586998333,-0.949534444,-5.157393,-0.940908533
1984,-0.305256667,-0.520274889,-0.362929333,-0.332210933,-0.773529333,-0.440078356,0.115441667,-0.7934904,-1.391483,-0.822560711
1985,-0.786376667,-0.4532508,-1.018839333,-0.315316978,-1.019449333,-0.392809067,-0.356748333,-0.646331911,-0.772063,-0.6987456
1986,0.444503333,-0.371417244,0.439170667,-0.276087822,1.100640667,-0.326571556,0.201731667,-0.495093378,0.932317,-0.576110978
1987,-0.286496667,-0.309673911,0.657810667,-0.245686178,-0.501559333,-0.281652578,-1.798398333,-0.379125333,-0.440873,-0.4935876
1988,-1.066576667,-0.2504096,-1.350409333,-0.219864844,-1.167689333,-0.225218844,-1.185598333,-0.269582222,2.370047,-0.392295156
1989,-0.483966667,-0.205744533,-0.037849333,-0.199161556,0.788460667,-0.186241333,-1.136938333,-0.185260356,-2.860163,-0.330296667
1990,0.304203333,-0.159913911,-2.000809333,-0.176773956,-0.668949333,-0.149636222,4.323111667,-0.102601556,0.948777,-0.251107733
1991,-0.628516667,-0.131036311,-1.124829333,-0.150754133,-0.139439333,-0.128259556,-0.038318333,-0.069716933,0.021957,-0.202487111
