Year,UK,UK trend,England,England trend,Wales,Wales trend,Scotland,Scotland trend,Northern Ireland,Northern Ireland trend
1884,8.475600874,7.765340474,9.26128377,8.399953504,8.715014891,8.01925344,7.048239262,6.535663299,8.695982131,8.276867445
1885,7.361354658,7.767546337,8.111326685,8.40158471,7.567385205,8.022713418,5.962885726,6.538229612,7.806881726,8.28037785
1886,7.451675096,7.777713377,8.249282137,8.41136727,7.86428126,8.03554739,5.937719479,6.548408865,7.785029562,8.289742737
1887,7.508783945,7.794273274,7.970995315,8.42583334,7.523062192,8.053016063,6.579038521,6.568390664,8.323445233,8.305016464
1888,7.280336175,7.811964439,7.816494426,8.443586292,7.521885683,8.073714432,6.181555656,6.586058123,7.998748689,8.317147522
1889,8.015178822,7.836965844,8.50003,8.470142747,8.156154849,8.102576551,7.041922356,6.609041947,8.667124356,8.332322101
1890,7.957247288,7.865277989,8.447091288,8.501498284,8.083425644,8.136979423,6.964949014,6.632718232,8.690184849,8.348055753
1891,7.601503836,7.890436574,8.104890986,8.53066948,7.906611945,8.169661833,6.549833699,6.651784522,8.27517,8.35746141
1892,7.01653041,7.918666794,7.679662951,8.563903909,7.462138579,8.204986389,5.698332158,6.672870214,7.467522268,8.367043368
1893,8.782930055,7.954708762,9.443771945,8.604228616,9.336819342,8.246135375,7.428526164,6.703693986,9.301172575,8.383434914
1894,8.185849507,7.985223224,8.822902986,8.637743563,8.55398926,8.27902015,6.95645811,6.732131633,8.502031562,8.393022999
1895,7.546528384,8.008756891,8.280555699,8.663882397,7.738677479,8.304491759,6.203659096,6.754272657,7.850103562,8.39635622
1896,8.259370683,8.034539256,8.888949863,8.69095807,8.503325191,8.332447139,7.067735273,6.780700401,8.614911503,8.402751144
1897,8.229974575,8.059179775,8.970810575,8.718474418,8.715997233,8.360852877,6.796320438,6.803498783,8.530169644,8.404972556
1898,8.875231479,8.07971045,9.576365699,8.742062115,9.161695425,8.383660003,7.552203726,6.822535471,9.226366329,8.40197841
1899,8.57228937,8.097208684,9.313223096,8.76325345,9.046829452,8.404055302,7.121695151,6.837928409,8.955439096,8.392793258
1900,8.283999671,8.114824294,9.085897534,8.784823737,8.527921836,8.423169132,6.842362521,6.854010447,8.400852329,8.380699035
1901,8.082372164,8.126236104,8.663404192,8.799640097,8.268044959,8.436897607,7.01327674,6.864492858,8.284636384,8.363396091
1902,7.725575014,8.134947669,8.40098337,8.813084582,8.034128466,8.449513902,6.433691315,6.869666098,8.089686493,8.343448998
1903,8.019626877,8.1417866,8.790874192,8.823442354,8.326626055,8.458697588,6.602835205,6.875188161,8.180258219,8.323404512
1904,7.992343798,8.146708714,8.636081148,8.830803828,8.22215959,8.466489007,6.811122514,6.880187626,8.158867213,8.303540805
1905,8.188413342,8.149207783,8.723043178,8.835181775,8.317608849,8.472034957,7.194316685,6.883291229,8.489048877,8.283720147
1906,8.292621863,8.15184455,9.019118247,8.840243004,8.501094685,8.478734731,7.004199507,6.885323993,8.314837562,8.264348266
1907,7.833456712,8.155624518,8.507547342,8.845969794,8.151348438,8.488109604,6.622782959,6.888355368,7.777016904,8.249608429
1908,8.306992268,8.154878622,8.855317732,8.847081173,8.658036202,8.493580075,7.278252131,6.886229899,8.40444224,8.233948124
1909,7.520684247,8.154739876,8.169686329,8.850041467,7.918130712,8.501062193,6.314620219,6.881838331,7.597969918,8.221076183
1910,8.090229644,8.160540678,8.800904548,8.858967693,8.513141123,8.513923679,6.792791781,6.883216876,8.065645178,8.215509445
1911,8.810151041,8.164070776,9.627769671,8.865622263,9.243699644,8.523050738,7.381144603,6.882259006,8.505753151,8.209994618
1912,8.173879536,8.164153228,8.946348033,8.867503025,8.604921503,8.527524204,6.783373934,6.87946383,8.079957022,8.205989467
1913,8.592562959,8.164004186,9.35226611,8.868705555,9.065714932,8.531915826,7.236324356,6.876490573,8.363774301,8.20512077
1914,8.695387288,8.164039688,9.450426411,8.869960192,9.090313534,8.535567001,7.350198767,6.873459478,8.560355068,8.208144223
1915,7.810789781,8.160341231,8.540835178,8.866968076,8.276753479,8.535402048,6.461923123,6.86671704,7.822860493,8.211862887
1916,8.105514262,8.16088022,8.76885418,8.868767029,8.421568306,8.537790425,6.89427041,6.86372702,8.189309781,8.219559537
1917,7.521023315,8.160751183,8.136461014,8.869235972,7.772857616,8.538854047,6.366829425,6.861091217,7.834014438,8.227845218
1918,8.327633726,8.16521625,9.091086822,8.874576445,8.818106329,8.54474826,6.906530164,6.862559716,8.402442877,8.24017795
1919,7.424323534,8.170519344,8.10083874,8.880141465,7.782933863,8.548628889,6.153753726,6.866510538,7.660296274,8.253681317
1920,8.450561557,8.184762635,9.152733579,8.894592911,8.811402377,8.56016589,7.182745574,6.88006295,8.388887486,8.274532839
1921,9.240960192,8.198153923,10.08309685,8.907865703,9.697474822,8.569688263,7.68325274,6.893358732,9.396715315,8.296057581
1922,7.632063534,8.202949774,8.296964027,8.911101078,7.962067726,8.568971399,6.38694411,6.901059903,7.879406137,8.307737306
1923,7.967663342,8.211762715,8.682869479,8.918891501,8.431873726,8.57243525,6.618105616,6.912312825,8.135093589,8.320578562
1924,8.191917049,8.226335563,8.858804481,8.931668817,8.492629945,8.580107233,6.97105776,6.931233952,8.337579208,8.337996638
1925,8.123022658,8.239588829,8.810130712,8.943010291,8.447358767,8.586872195,6.856231068,6.948963678,8.292866521,8.35374264
1926,8.585211123,8.252184393,9.292482712,8.953430335,8.937015507,8.593722635,7.281160055,6.966273239,8.73627211,8.368870918
1927,8.065698192,8.262984287,8.769283233,8.962359339,8.475431096,8.599373192,6.73035937,6.981361819,8.335446548,8.380835813
