Country,Currency,Economic Indicators,Year,Value,Unit
united-kingdom,national-currency-nominal,energy-efficiency,2010,173.246,million
united-kingdom,national-currency-nominal,fossil-fuels,2010,54.857,million
united-kingdom,national-currency-nominal,renewables,2010,167.65,million
united-kingdom,national-currency-nominal,nuclear,2010,70.071,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2010,19.819,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2010,12.593,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2010,12.652,million
united-kingdom,national-currency-nominal,unallocated,2010,0.0,million
united-kingdom,national-currency-nominal,total-budget,2010,510.888,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2010,213.272,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2010,67.531,million
united-kingdom,national-currency-2021-prices,renewables,2010,206.383,million
united-kingdom,national-currency-2021-prices,nuclear,2010,86.26,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2010,24.398,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2010,15.502,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2010,15.575,million
united-kingdom,national-currency-2021-prices,unallocated,2010,0.0,million
united-kingdom,national-currency-2021-prices,total-budget,2010,628.922,million
united-kingdom,national-currency-nominal,energy-efficiency,2011,149.527,million
united-kingdom,national-currency-nominal,fossil-fuels,2011,41.865,million
united-kingdom,national-currency-nominal,renewables,2011,58.802,million
united-kingdom,national-currency-nominal,nuclear,2011,45.136,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2011,16.672,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2011,16.412,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2011,22.729,million
united-kingdom,national-currency-nominal,unallocated,2011,0.0,million
united-kingdom,national-currency-nominal,total-budget,2011,351.143,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2011,180.346,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2011,50.494,million
united-kingdom,national-currency-2021-prices,renewables,2011,70.922,million
united-kingdom,national-currency-2021-prices,nuclear,2011,54.439,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2011,20.108,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2011,19.795,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2011,27.414,million
united-kingdom,national-currency-2021-prices,unallocated,2011,0.0,million
united-kingdom,national-currency-2021-prices,total-budget,2011,423.518,million
united-kingdom,national-currency-nominal,energy-efficiency,2012,90.931,million
united-kingdom,national-currency-nominal,fossil-fuels,2012,35.747,million
united-kingdom,national-currency-nominal,renewables,2012,58.71,million
united-kingdom,national-currency-nominal,nuclear,2012,62.685,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2012,13.588,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2012,19.772,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2012,36.151,million
united-kingdom,national-currency-nominal,unallocated,2012,0.0,million
united-kingdom,national-currency-nominal,total-budget,2012,317.583,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2012,107.886,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2012,42.412,million
united-kingdom,national-currency-2021-prices,renewables,2012,69.657,million
united-kingdom,national-currency-2021-prices,nuclear,2012,74.373,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2012,16.122,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2012,23.459,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2012,42.892,million
united-kingdom,national-currency-2021-prices,unallocated,2012,0.0,million
united-kingdom,national-currency-2021-prices,total-budget,2012,376.8,million
united-kingdom,national-currency-nominal,energy-efficiency,2013,117.586,million
united-kingdom,national-currency-nominal,fossil-fuels,2013,35.998,million
united-kingdom,national-currency-nominal,renewables,2013,89.401,million
united-kingdom,national-currency-nominal,nuclear,2013,57.733,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2013,22.18,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2013,25.175,million
