Greenhouse Gas emissions - GHG - Ktonnes CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Food,Non-alcoholic beverages,Alcoholic beverages,Tobacco,Clothing,Footwear,Actual rentals for households,Imputed rentals for households,Maintenance and repair of the dwelling,Water supply and miscellaneous dwelling services,"Electricity, gas and other fuels","Furniture, furnishings, carpets etc",Household textiles,Household appliances,"Glassware, tableware and household utensils",Tools and equipment for house and garden,Goods and services for household maintenance,"Medical products, appliances and equipment",Hospital services,Purchase of vehicles,Operation of personal transport equipment,Transport services,Postal services,Telephone and telefax equipment,Telephone and telefax services,"Audio-visual, photo and info processing equipment",Other major durables for recreation and culture,Other recreational equipment etc,Recreational and cultural services,"Newspapers, books and stationery",Education,Restaurants and hotels,Miscellaneous goods and services,Total
,,FOO,DRI,ALC,TOB,CLO,SHO,ACR,IMR,DIY,WAT,ELG,FRN,TEX,APL,GLA,TOO,GOO,MED,HOS,VEH,OPP,TRS,PST,TEL,TES,AVI,MRC,ORC,RCS,NBS,EDU,R&H,MSC,Total
,2006,79750.22883,4137.517951,1504.369085,620.1827978,17627.90615,4428.950565,10160.33884,9880.314314,3029.267801,6281.078661,224693.5186,11628.3692,4399.440871,1379.947608,6315.975919,3022.153592,1361.256514,9388.490724,1678.241189,19081.11416,121193.3881,74867.20156,402.7254125,328.8040392,4480.417577,8507.602378,3641.821351,23036.44583,9090.345376,3459.778431,2434.316274,49221.62827,36574.65601,757607.794
,2007,74180.58117,3751.90448,1442.157147,598.4578255,17716.39524,4228.103279,11047.78397,9015.072087,3129.921975,6470.472268,216975.9747,12944.27101,4699.104451,1397.567163,5930.917254,3604.465928,1473.276167,9432.75227,1861.340305,18015.90224,123414.4398,76407.44052,385.8841708,365.415321,4128.948656,8980.189092,3515.685272,23537.95817,8967.935135,3322.657121,2391.22329,50839.10076,36037.27763,750210.5759
,2008,70548.73525,3628.377752,1424.901914,523.1119577,16398.32284,4086.743641,10310.81675,7832.072843,2325.16934,5321.934498,218978.0605,10670.34501,4474.596049,1147.675556,5375.462686,3167.611118,1178.529803,8330.848348,1600.155738,14043.89003,120011.0515,73290.02505,260.9193935,268.0749886,4102.028967,7264.623807,3251.634831,21732.20899,8571.88595,2823.454974,2161.338111,45078.35514,32235.49761,712418.4609
,2009,74280.21403,4497.270881,1115.751095,477.5408786,14310.21075,3621.56663,9553.550785,8046.271361,1676.697578,5281.821418,203273.2618,9053.378519,4318.935011,935.8489724,4316.819216,1726.940072,1149.696083,7321.160115,1760.877419,10738.72728,114596.9484,66761.91174,258.5083724,298.8684428,3566.345806,6422.018609,2898.842799,18302.9993,7187.713809,2130.358292,2203.260983,38492.93814,22977.8416,653555.0961
,2010,71837.64672,4064.212991,1078.468043,450.260227,13821.1097,3156.291461,9498.561285,8940.769789,1605.049241,5244.159894,219777.2038,8515.08905,4174.040467,828.4427762,3927.276722,1556.656036,1069.446951,6863.991106,1774.376213,9507.582205,111663.0994,65055.54117,288.5732371,259.5468989,3665.567235,6310.612858,2585.111544,17739.34804,7056.999318,1953.782601,2043.641532,37591.64863,22561.82225,656465.9294
,2011,73394.93779,3885.051543,1214.730487,526.3760507,13325.87181,3354.276655,9853.312166,8814.486379,1727.934026,5075.36513,187657.1711,9291.235432,3261.88138,820.2498214,4275.686145,1624.341352,926.5199033,7686.613567,1931.969789,9388.325931,114431.6432,68794.20861,282.3564574,290.4243757,3641.868204,6549.371835,2667.770275,18621.08952,7670.232341,2085.947923,1907.848295,35502.8882,23493.91302,633975.8988
,2012,75219.89098,3898.482816,1427.216582,437.4599899,12670.29277,3226.126783,10248.54043,7723.135462,1694.36675,5141.024881,205853.2613,8840.498573,3233.353852,881.8791042,4385.972608,1587.530137,1016.107919,8646.604569,1909.084296,9121.798018,116653.3245,69519.11663,301.7160707,364.0194076,3631.317809,6437.231937,2714.373096,18216.22425,8350.425174,1965.798322,2072.659898,36879.59693,24376.82615,658645.258
,2013,74511.58809,3653.671153,1578.690381,372.5600582,12727.32517,3343.03726,9505.253971,7784.621536,1768.238323,4881.557332,206130.4321,8456.674785,3733.873263,862.5206487,4335.845447,1249.260996,961.0388127,8278.497928,1988.42713,8763.845958,116407.1578,68359.04784,233.9078123,393.6590947,3427.258037,6369.604959,2847.724182,17529.33106,7866.338789,1990.500632,2232.077546,35971.06676,23662.17546,652176.8103
,2014,73328.95395,3732.038627,1395.442231,331.6831922,12495.25349,3577.691429,9269.198278,7417.393167,1711.9837,5085.132929,175889.3895,9268.499007,3569.982265,945.4125414,3920.8895,647.7628676,908.7589584,8082.757998,1887.80541,9775.463765,110769.2372,71618.12568,268.413701,344.5678538,3433.043039,6593.680168,3305.173257,18863.57675,7998.897327,1661.713108,2313.141853,36602.05567,23592.24019,620605.3585
,2015,73560.90771,3688.276949,1285.067008,365.2853319,11961.1223,3384.510179,9714.246834,6828.790758,1604.22523,4813.306093,171662.2764,8927.627345,3818.448915,971.7694764,3675.989567,588.8580033,823.3753295,8226.182138,1855.388893,9817.971575,108845.8827,72428.26382,387.7322646,358.7084305,3095.7452,6179.469724,3698.084518,18453.11288,7564.232575,1640.374308,2598.627602,35970.53842,22677.54735,611471.9458
,2016,70325.61632,3274.864647,1203.014567,314.9192259,10123.16362,2743.613554,9299.858537,6211.0126,1420.985709,4368.428863,158120.071,7448.433041,3330.098637,800.6119098,3346.628595,494.8464427,714.2047258,7283.852348,1736.422357,9330.090672,107276.2885,69896.10328,351.0226261,441.8268244,2364.924228,5410.167644,3628.821073,17290.143,6599.484402,1413.946991,2472.314273,33208.21825,20307.13066,572551.1291
,2017,67796.10783,3093.162541,1063.254257,307.5187931,8648.21818,2448.13617,8943.01873,5910.995307,1317.665492,4412.875557,143302.8428,6789.743406,3377.069787,800.3425628,3105.544483,469.8792525,600.9899769,7021.860573,1510.332367,8445.215531,104389.1021,64786.32047,343.9095268,365.2732945,2471.840446,5100.668191,3457.752107,16908.19749,6244.960892,1296.408476,2341.206626,31152.91526,19680.66903,537903.9975
,2018,64021.25784,2290.560058,1245.297267,335.8213039,8621.55556,2335.905333,8670.181956,5250.094999,1410.105968,4330.260919,144202.198,6848.426133,3039.362505,896.1966203,3260.69216,477.7817693,656.6955381,8327.74083,1590.346769,8861.991556,105527.092,70202.33914,395.0267778,366.5831275,2406.270678,5414.77777,3583.164255,17416.61054,6408.190269,1409.3594,2398.854385,31444.25923,20207.82097,543852.8217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Dioxide emissions - CO2 - Ktonnes CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Food,Non-alcoholic beverages,Alcoholic beverages,Tobacco,Clothing,Footwear,Actual rentals for households,Imputed rentals for households,Maintenance and repair of the dwelling,Water supply and miscellaneous dwelling services,"Electricity, gas and other fuels","Furniture, furnishings, carpets etc",Household textiles,Household appliances,"Glassware, tableware and household utensils",Tools and equipment for house and garden,Goods and services for household maintenance,"Medical products, appliances and equipment",Hospital services,Purchase of vehicles,Operation of personal transport equipment,Transport services,Postal services,Telephone and telefax equipment,Telephone and telefax services,"Audio-visual, photo and info processing equipment",Other major durables for recreation and culture,Other recreational equipment etc,Recreational and cultural services,"Newspapers, books and stationery",Education,Restaurants and hotels,Miscellaneous goods and services,Total
,,FOO,DRI,ALC,TOB,CLO,SHO,ACR,IMR,DIY,WAT,ELG,FRN,TEX,APL,GLA,TOO,GOO,MED,HOS,VEH,OPP,TRS,PST,TEL,TES,AVI,MRC,ORC,RCS,NBS,EDU,R&H,MSC,Total
,1990,30126.47349,2746.662071,3610.833554,773.1994181,8068.232452,1638.521403,435.2339423,33.20887412,4841.957999,4598.522439,214013.162,8024.933434,3944.489719,2054.332005,4232.590968,1673.307298,1942.182497,3331.700181,1359.144409,11576.74245,157188.4966,41864.73405,501.0025043,116.2747691,2334.28095,4730.377547,1435.220853,11551.36786,7195.410172,3319.869405,2011.083507,19121.60249,21771.90035,582167.0517
,1991,29984.12033,2700.932741,3536.24848,791.9287699,8231.188882,1646.677859,439.1812318,33.54396391,4505.606733,4853.188656,221626.6716,8092.725911,3964.944594,1955.608581,4049.43747,1643.578241,1915.409148,3324.600798,1379.700737,12443.04937,157141.7215,42013.00073,522.9977015,113.5368831,2422.786987,4650.938096,1442.172558,11506.88434,7191.144208,3294.757336,2079.707884,19664.06674,21870.13226,591032.1913
,1992,28437.12111,2525.344494,3223.336737,752.4341121,7554.601877,1510.37416,408.9504138,30.9136001,4084.349454,4566.921759,212037.2876,7273.024891,3614.786906,1667.245958,3529.247944,1482.437819,1780.93641,3024.058046,1318.701874,12375.6392,152058.2411,40522.96113,525.8625929,99.50270536,2342.913925,4132.790087,1331.784549,10597.77678,6574.1584,3008.412787,2048.999999,18666.41399,20545.21286,563652.7452
,1993,26167.42138,2193.879817,2786.284046,662.2240564,7261.198937,1421.197802,413.6321067,30.57830155,3613.261562,4255.602432,207236.8518,6808.726303,3379.840068,1396.026695,3040.3131,1351.067765,1687.285386,2896.365676,1433.875083,12127.91949,151124.6379,40422.87674,561.7131888,90.9859694,2559.185633,3847.649536,1173.505961,10007.59464,6669.114092,2803.315981,1984.515167,18807.13624,19826.14271,550041.9255
,1994,25632.81673,2071.335194,2616.462668,676.9537427,7102.005443,1418.925111,422.8524464,30.99598177,3314.213994,4125.253245,202734.8723,6614.658917,3242.574447,1085.89182,2751.353308,1309.688814,1628.261266,2855.513326,1678.518652,13410.2015,146254.9759,40201.79433,612.9255719,83.93051127,2796.33414,3586.061988,1186.955865,9742.487269,6593.177988,2791.461133,1990.338742,18384.45814,19238.57454,538186.825
