Label,URI,Parent URI,Sort Priority,Description,Local Notation
England,http://statistics.data.gov.uk/id/statistical-geography/E92000001,,0,,E92000001
Scotland,http://statistics.data.gov.uk/id/statistical-geography/S92000003,,1,,S92000003
Wales,http://statistics.data.gov.uk/id/statistical-geography/W92000004,,2,,W92000004
Northern Ireland,http://statistics.data.gov.uk/id/statistical-geography/N92000002,,3,,N92000002
United Kingdom,http://statistics.data.gov.uk/id/statistical-geography/K02000001,,4,,K02000001
