Period,Final Demand Code,Measure,Unit,Value
year/1995,FD 5,greenhouse-gas-emissions,kt-co2e,110243.662
year/1995,FD 6,greenhouse-gas-emissions,kt-co2e,304.92
year/1995,FD 7,greenhouse-gas-emissions,kt-co2e,7990.468
year/1996,FD 1,greenhouse-gas-emissions,kt-co2e,531839.669
year/1996,FD 1,greenhouse-gas-emissions,kt-co2e,159758.6
year/1996,FD 2,greenhouse-gas-emissions,kt-co2e,7256.318
year/1996,FD 3,greenhouse-gas-emissions,kt-co2e,51544.555
year/1996,FD 4,greenhouse-gas-emissions,kt-co2e,37602.402
year/1996,FD 5,greenhouse-gas-emissions,kt-co2e,99925.681
year/1996,FD 6,greenhouse-gas-emissions,kt-co2e,2598.286
year/1996,FD 7,greenhouse-gas-emissions,kt-co2e,7626.579
year/1997,FD 1,greenhouse-gas-emissions,kt-co2e,617476.072
year/1997,FD 1,greenhouse-gas-emissions,kt-co2e,153633.5
year/1997,FD 2,greenhouse-gas-emissions,kt-co2e,5266.261
year/1997,FD 3,greenhouse-gas-emissions,kt-co2e,41133.822
year/1997,FD 4,greenhouse-gas-emissions,kt-co2e,48235.492
year/1997,FD 5,greenhouse-gas-emissions,kt-co2e,132046.187
year/1997,FD 6,greenhouse-gas-emissions,kt-co2e,2598.286
year/1997,FD 7,greenhouse-gas-emissions,kt-co2e,6697.578
year/1998,FD 1,greenhouse-gas-emissions,kt-co2e,641644.143
year/1998,FD 1,greenhouse-gas-emissions,kt-co2e,155851.2
year/1998,FD 2,greenhouse-gas-emissions,kt-co2e,5552.052
year/1998,FD 3,greenhouse-gas-emissions,kt-co2e,42439.309
year/1998,FD 4,greenhouse-gas-emissions,kt-co2e,49400.836
year/1998,FD 5,greenhouse-gas-emissions,kt-co2e,140621.446
year/1998,FD 6,greenhouse-gas-emissions,kt-co2e,3322.552
year/1998,FD 7,greenhouse-gas-emissions,kt-co2e,10611.664
year/1999,FD 1,greenhouse-gas-emissions,kt-co2e,635071.421
year/1999,FD 1,greenhouse-gas-emissions,kt-co2e,157177.7
year/1999,FD 2,greenhouse-gas-emissions,kt-co2e,5581.033
year/1999,FD 3,greenhouse-gas-emissions,kt-co2e,42581.989
year/1999,FD 4,greenhouse-gas-emissions,kt-co2e,48741.369
year/1999,FD 5,greenhouse-gas-emissions,kt-co2e,135257.57
year/1999,FD 6,greenhouse-gas-emissions,kt-co2e,3126.871
year/1999,FD 7,greenhouse-gas-emissions,kt-co2e,7550.6
year/2000,FD 1,greenhouse-gas-emissions,kt-co2e,635216.394
year/2000,FD 1,greenhouse-gas-emissions,kt-co2e,157589.2
year/2000,FD 2,greenhouse-gas-emissions,kt-co2e,5264.675
year/2000,FD 3,greenhouse-gas-emissions,kt-co2e,42814.545
year/2000,FD 4,greenhouse-gas-emissions,kt-co2e,47579.132
year/2000,FD 5,greenhouse-gas-emissions,kt-co2e,139959.875
year/2000,FD 6,greenhouse-gas-emissions,kt-co2e,4265.585
year/2000,FD 7,greenhouse-gas-emissions,kt-co2e,6870.951
year/2001,FD 1,greenhouse-gas-emissions,kt-co2e,656649.405
year/2001,FD 1,greenhouse-gas-emissions,kt-co2e,161550.5
year/2001,FD 2,greenhouse-gas-emissions,kt-co2e,5526.97
year/2001,FD 3,greenhouse-gas-emissions,kt-co2e,43273.579
year/2001,FD 4,greenhouse-gas-emissions,kt-co2e,48219.545
year/2001,FD 5,greenhouse-gas-emissions,kt-co2e,137560.803
year/2001,FD 6,greenhouse-gas-emissions,kt-co2e,4265.585
year/2001,FD 7,greenhouse-gas-emissions,kt-co2e,5028.162
year/2002,FD 1,greenhouse-gas-emissions,kt-co2e,650515.267
year/2002,FD 1,greenhouse-gas-emissions,kt-co2e,160471.4
year/2002,FD 2,greenhouse-gas-emissions,kt-co2e,5999.853
year/2002,FD 3,greenhouse-gas-emissions,kt-co2e,51516.815
year/2002,FD 4,greenhouse-gas-emissions,kt-co2e,47910.878
year/2002,FD 5,greenhouse-gas-emissions,kt-co2e,135449.512
year/2002,FD 6,greenhouse-gas-emissions,kt-co2e,6997.979
year/2002,FD 7,greenhouse-gas-emissions,kt-co2e,5632.819
year/2003,FD 1,greenhouse-gas-emissions,kt-co2e,648781.358
year/2003,FD 1,greenhouse-gas-emissions,kt-co2e,160827.5
year/2003,FD 2,greenhouse-gas-emissions,kt-co2e,6216.39
year/2003,FD 3,greenhouse-gas-emissions,kt-co2e,48667.266
year/2003,FD 4,greenhouse-gas-emissions,kt-co2e,49590.494
year/2003,FD 5,greenhouse-gas-emissions,kt-co2e,137362.032
year/2003,FD 6,greenhouse-gas-emissions,kt-co2e,5540.031
year/2003,FD 7,greenhouse-gas-emissions,kt-co2e,4273.231
year/2004,FD 1,greenhouse-gas-emissions,kt-co2e,675538.148
year/2004,FD 1,greenhouse-gas-emissions,kt-co2e,163576.0
year/2004,FD 2,greenhouse-gas-emissions,kt-co2e,6364.019
year/2004,FD 3,greenhouse-gas-emissions,kt-co2e,58340.22
year/2004,FD 4,greenhouse-gas-emissions,kt-co2e,53521.375
year/2004,FD 5,greenhouse-gas-emissions,kt-co2e,144466.24
year/2004,FD 6,greenhouse-gas-emissions,kt-co2e,3279.264
year/2004,FD 7,greenhouse-gas-emissions,kt-co2e,5706.807
year/2005,FD 1,greenhouse-gas-emissions,kt-co2e,676436.038
year/2005,FD 1,greenhouse-gas-emissions,kt-co2e,159865.0
year/2005,FD 2,greenhouse-gas-emissions,kt-co2e,6864.672
year/2005,FD 3,greenhouse-gas-emissions,kt-co2e,58562.87
year/2005,FD 4,greenhouse-gas-emissions,kt-co2e,52210.658
year/2005,FD 5,greenhouse-gas-emissions,kt-co2e,144927.233
year/2005,FD 6,greenhouse-gas-emissions,kt-co2e,3384.861
year/2005,FD 7,greenhouse-gas-emissions,kt-co2e,5545.95
year/2006,FD 1,greenhouse-gas-emissions,kt-co2e,671897.793
year/2006,FD 1,greenhouse-gas-emissions,kt-co2e,157396.9
year/2006,FD 2,greenhouse-gas-emissions,kt-co2e,6963.867
year/2006,FD 3,greenhouse-gas-emissions,kt-co2e,55753.753
year/2006,FD 4,greenhouse-gas-emissions,kt-co2e,50655.843
year/2006,FD 5,greenhouse-gas-emissions,kt-co2e,145513.82
year/2006,FD 6,greenhouse-gas-emissions,kt-co2e,4948.317
year/2006,FD 7,greenhouse-gas-emissions,kt-co2e,9033.788
year/2007,FD 1,greenhouse-gas-emissions,kt-co2e,667375.722
year/2007,FD 1,greenhouse-gas-emissions,kt-co2e,154285.7
year/2007,FD 2,greenhouse-gas-emissions,kt-co2e,6621.011
year/2007,FD 3,greenhouse-gas-emissions,kt-co2e,58487.536
year/2007,FD 4,greenhouse-gas-emissions,kt-co2e,50600.175
year/2007,FD 5,greenhouse-gas-emissions,kt-co2e,152028.099
