Period,Final Demand Code,Measure,Unit,Value
year/2010,FD 1,carbon-dioxide-emissions,kt-co2,155119.4
year/2010,FD 2,carbon-dioxide-emissions,kt-co2,5043.857
year/2010,FD 3,carbon-dioxide-emissions,kt-co2,36698.77
year/2010,FD 4,carbon-dioxide-emissions,kt-co2,19042.025
year/2010,FD 5,carbon-dioxide-emissions,kt-co2,79344.492
year/2010,FD 6,carbon-dioxide-emissions,kt-co2,480.572
year/2010,FD 7,carbon-dioxide-emissions,kt-co2,4688.382
year/2011,FD 1,carbon-dioxide-emissions,kt-co2,395291.182
year/2011,FD 1,carbon-dioxide-emissions,kt-co2,136247.8
year/2011,FD 2,carbon-dioxide-emissions,kt-co2,4653.788
year/2011,FD 3,carbon-dioxide-emissions,kt-co2,35745.808
year/2011,FD 4,carbon-dioxide-emissions,kt-co2,17296.388
year/2011,FD 5,carbon-dioxide-emissions,kt-co2,79717.909
year/2011,FD 6,carbon-dioxide-emissions,kt-co2,1553.787
year/2011,FD 7,carbon-dioxide-emissions,kt-co2,4923.717
year/2012,FD 1,carbon-dioxide-emissions,kt-co2,400636.681
year/2012,FD 1,carbon-dioxide-emissions,kt-co2,144258.0
year/2012,FD 2,carbon-dioxide-emissions,kt-co2,5042.416
year/2012,FD 3,carbon-dioxide-emissions,kt-co2,38364.421
year/2012,FD 4,carbon-dioxide-emissions,kt-co2,17719.859
year/2012,FD 5,carbon-dioxide-emissions,kt-co2,80415.611
year/2012,FD 6,carbon-dioxide-emissions,kt-co2,1136.432
year/2012,FD 7,carbon-dioxide-emissions,kt-co2,3928.341
year/2013,FD 1,carbon-dioxide-emissions,kt-co2,389494.383
year/2013,FD 1,carbon-dioxide-emissions,kt-co2,146534.9
year/2013,FD 2,carbon-dioxide-emissions,kt-co2,4735.363
year/2013,FD 3,carbon-dioxide-emissions,kt-co2,37545.844
year/2013,FD 4,carbon-dioxide-emissions,kt-co2,16888.566
year/2013,FD 5,carbon-dioxide-emissions,kt-co2,80048.807
year/2013,FD 6,carbon-dioxide-emissions,kt-co2,7184.677
year/2013,FD 7,carbon-dioxide-emissions,kt-co2,4399.659
year/2014,FD 1,carbon-dioxide-emissions,kt-co2,379700.127
year/2014,FD 1,carbon-dioxide-emissions,kt-co2,133954.2
year/2014,FD 2,carbon-dioxide-emissions,kt-co2,4421.122
year/2014,FD 3,carbon-dioxide-emissions,kt-co2,37290.027
year/2014,FD 4,carbon-dioxide-emissions,kt-co2,15928.909
year/2014,FD 5,carbon-dioxide-emissions,kt-co2,86204.272
year/2014,FD 6,carbon-dioxide-emissions,kt-co2,5896.439
year/2014,FD 7,carbon-dioxide-emissions,kt-co2,8635.846
year/2015,FD 1,carbon-dioxide-emissions,kt-co2,373874.319
year/2015,FD 1,carbon-dioxide-emissions,kt-co2,137986.8
year/2015,FD 2,carbon-dioxide-emissions,kt-co2,4396.981
year/2015,FD 3,carbon-dioxide-emissions,kt-co2,35077.252
year/2015,FD 4,carbon-dioxide-emissions,kt-co2,15183.653
year/2015,FD 5,carbon-dioxide-emissions,kt-co2,92298.48
year/2015,FD 6,carbon-dioxide-emissions,kt-co2,2229.259
year/2015,FD 7,carbon-dioxide-emissions,kt-co2,5883.624
year/2016,FD 1,carbon-dioxide-emissions,kt-co2,334121.704
year/2016,FD 1,carbon-dioxide-emissions,kt-co2,140551.3
year/2016,FD 2,carbon-dioxide-emissions,kt-co2,3602.843
year/2016,FD 3,carbon-dioxide-emissions,kt-co2,29127.822
year/2016,FD 4,carbon-dioxide-emissions,kt-co2,13012.82
year/2016,FD 5,carbon-dioxide-emissions,kt-co2,85423.635
year/2016,FD 6,carbon-dioxide-emissions,kt-co2,2019.649
year/2016,FD 7,carbon-dioxide-emissions,kt-co2,3203.423
year/2017,FD 1,carbon-dioxide-emissions,kt-co2,315188.324
year/2017,FD 1,carbon-dioxide-emissions,kt-co2,139057.5
year/2017,FD 2,carbon-dioxide-emissions,kt-co2,3747.717
year/2017,FD 3,carbon-dioxide-emissions,kt-co2,29339.352
year/2017,FD 4,carbon-dioxide-emissions,kt-co2,12919.659
year/2017,FD 5,carbon-dioxide-emissions,kt-co2,81803.568
year/2017,FD 6,carbon-dioxide-emissions,kt-co2,1519.618
year/2017,FD 7,carbon-dioxide-emissions,kt-co2,2298.22
year/2018,FD 1,carbon-dioxide-emissions,kt-co2,321729.295
year/2018,FD 1,carbon-dioxide-emissions,kt-co2,143544.8
year/2018,FD 2,carbon-dioxide-emissions,kt-co2,3895.442
year/2018,FD 3,carbon-dioxide-emissions,kt-co2,30097.34
year/2018,FD 4,carbon-dioxide-emissions,kt-co2,12915.923
year/2018,FD 5,carbon-dioxide-emissions,kt-co2,81155.984
year/2018,FD 6,carbon-dioxide-emissions,kt-co2,2809.061
year/2018,FD 7,carbon-dioxide-emissions,kt-co2,2577.788
year/2019,FD 1,carbon-dioxide-emissions,kt-co2,310810.215
year/2019,FD 1,carbon-dioxide-emissions,kt-co2,142648.6
year/2019,FD 2,carbon-dioxide-emissions,kt-co2,3532.205
year/2019,FD 3,carbon-dioxide-emissions,kt-co2,29270.829
year/2019,FD 4,carbon-dioxide-emissions,kt-co2,11971.995
year/2019,FD 5,carbon-dioxide-emissions,kt-co2,78284.634
year/2019,FD 6,carbon-dioxide-emissions,kt-co2,1283.512
year/2019,FD 7,carbon-dioxide-emissions,kt-co2,4618.025
