period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
2003,251.07476,268.58235,292.36558,303.02371,312.30168,325.33121,350.9353,285.83287,302.63984,333.95003,341.06934,311.52197,329.5905,304.58694
2004,270.84453,281.53668,324.07721,346.85983,336.28108,353.59917,361.14761,322.38699,335.73656,353.16246,349.4869,346.77477,340.20983,339.28436
2005,266.86895,288.34849,294.44107,313.46562,314.29298,316.92475,318.89447,291.04762,307.90343,317.20317,327.02104,309.03373,316.24273,310.09751
2006,236.08373,254.93108,285.15172,298.07989,331.43074,335.34514,339.42965,262.35319,310.1131,338.14865,337.40151,322.69203,333.7595,304.45708
2007,307.37637,301.39777,334.98552,348.81737,341.90029,343.85742,343.99812,328.29082,333.01915,344.04034,345.84364,332.18846,340.68707,335.41351
2008,233.08267,232.51525,269.11248,296.72017,313.57093,326.39656,329.22048,275.1583,297.30413,325.63646,326.47466,301.68418,310.5855,301.26848
2009,245.59147,256.44723,272.92363,300.20088,294.36697,299.79984,300.69347,277.20488,281.52568,298.94537,307.76659,292.70176,291.90435,285.8903
2010,218.29786,220.08477,240.78189,278.35872,253.89665,255.81711,264.48304,240.20151,243.09686,256.49681,270.56311,249.89789,252.79479,249.53268
2011,252.90531,266.29339,278.57963,317.51239,330.98056,336.67718,352.03392,286.07573,309.03214,345.97065,344.76181,335.00183,334.59872,312.25344
2012,258.79366,264.0894,288.91541,322.60615,324.77398,332.3806,338.85804,279.9036,295.89276,336.20516,346.81681,322.51055,328.01938,300.20922
2013,272.57003,297.48705,316.61818,341.90588,350.68841,360.10649,364.34925,324.14715,336.70696,350.61694,342.91624,346.05253,351.5073,338.48554
2014,267.1494,274.49352,289.34043,290.47978,324.22659,344.33804,356.26508,281.6856,306.46273,343.23038,347.54504,323.01812,311.61456,307.45014
2015,256.27107,269.01606,288.79622,299.70817,354.07771,359.72224,360.27136,287.92962,321.92194,358.6914,360.26464,341.71887,355.58888,331.00214
2016,232.40364,243.62757,274.01708,307.32984,340.49687,360.23322,365.47048,277.96934,309.30611,352.2623,338.49839,318.58814,337.60241,306.61002
2017,250.32504,262.07441,286.03611,317.67146,293.7051,302.97716,333.21294,273.29257,296.12292,319.85653,332.03496,304.45408,297.17169,289.63686
2018,208.17047,222.00442,234.54323,261.77462,289.07489,296.95979,344.6093,236.67909,278.51946,320.54756,337.77829,298.37466,299.71974,258.25214
2019,262.75143,263.18632,285.91776,314.26942,305.8797,303.51484,325.88128,301.07398,308.86429,302.18622,321.45148,308.72364,298.98124,311.19949
