Label,URI,Parent URI,Sort Priority,Description,Local Notation
Manufacture of cleaning & toilet preparations,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-4,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-4
Manufacture of other chemical products & man made fibres,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/20-5,http://business.data.gov.uk/companies/def/sic-2007/C,,,20-5
Basic pharmaceutical products and pharmaceutical preparations,http-//business-data-gov-uk/companies/def/sic-2007/21,http://business.data.gov.uk/companies/def/sic-2007/C,,,21
Rubber products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/22-1,http://business.data.gov.uk/companies/def/sic-2007/C,,,22-1
Plastics products,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/22-2,http://business.data.gov.uk/companies/def/sic-2007/C,,,22-2
"Manufacture of glass, refractory, clay, other porcelain and ceramic products, Stone, & abrasive products",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/23-1-4-23-7-9,http://business.data.gov.uk/companies/def/sic-2007/C,,,23-1-4-23-7-9
Manufacture of cement,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/23-51,http://business.data.gov.uk/companies/def/sic-2007/C,,,23-51
Manufacture of lime,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/23-52-/1,http://business.data.gov.uk/companies/def/sic-2007/C,,,23-52-/1
Manufacture of plaster,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/23-52-/2,http://business.data.gov.uk/companies/def/sic-2007/C,,,23-52-/2
"Manufacture of articles of concrete, cement and plaster",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/23-6,http://business.data.gov.uk/companies/def/sic-2007/C,,,23-6
Manufacture of basic Iron & Steel,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/24-1-3,http://business.data.gov.uk/companies/def/sic-2007/C,,,24-1-3
Manufacture of other basic metals & casting (excl. Nuclear fuel & Aluminium),http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/24-4-5-not-24-42-nor-24-46,http://business.data.gov.uk/companies/def/sic-2007/C,,,24-4-5-not-24-42-nor-24-46
Aluminium production,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/24-42,http://business.data.gov.uk/companies/def/sic-2007/C,,,24-42
Processing of nuclear fuel,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/24-46,http://business.data.gov.uk/companies/def/sic-2007/C,,,24-46
"Fabricated metal products, except machinery and equipment, excluding weapons and ammunition",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/25-1-3-25-5-9,http://business.data.gov.uk/companies/def/sic-2007/C,,,25-1-3-25-5-9
Manufacture of weapons and ammunition,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/25-4,http://business.data.gov.uk/companies/def/sic-2007/C,,,25-4
"Computer, electronic, communication and optical products",http-//business-data-gov-uk/companies/def/sic-2007/26,http://business.data.gov.uk/companies/def/sic-2007/C,,,26
Electrical equipment,http-//business-data-gov-uk/companies/def/sic-2007/27,http://business.data.gov.uk/companies/def/sic-2007/C,,,27
Machinery and equipment n.e.c.,http-//business-data-gov-uk/companies/def/sic-2007/28,http://business.data.gov.uk/companies/def/sic-2007/C,,,28
"Motor vehicles, trailers and semi trailers",http-//business-data-gov-uk/companies/def/sic-2007/29,http://business.data.gov.uk/companies/def/sic-2007/C,,,29
Building of ships and boats,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/30-1,http://business.data.gov.uk/companies/def/sic-2007/C,,,30-1
