Label,URI,Parent URI,Sort Priority,Description,Local Notation
United Kingdom,http://statistics.data.gov.uk/id/statistical-geography/K02000001,,1,,K02000001
England,http://statistics.data.gov.uk/id/statistical-geography/E92000001,http://statistics.data.gov.uk/id/statistical-geography/K02000001,2,,E92000001
Scotland,http://statistics.data.gov.uk/id/statistical-geography/S92000003,http://statistics.data.gov.uk/id/statistical-geography/K02000001,3,,S92000003
Wales,http://statistics.data.gov.uk/id/statistical-geography/W92000004,http://statistics.data.gov.uk/id/statistical-geography/K02000001,4,,W92000004
Northern Ireland,http://statistics.data.gov.uk/id/statistical-geography/N92000002,http://statistics.data.gov.uk/id/statistical-geography/K02000001,5,,N92000002
Unallocated,http://gss-data.org.uk/data/gss_data/climate-change/beis-local-authority-greenhouse-gas-emissions#concept/country/unallocated,http://statistics.data.gov.uk/id/statistical-geography/K02000001,6,,unallocated
