period-start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber
1960,9.14414,5.69691,6.90528,10.28587,11.05027,8.80433,8.76633,7.77131,8.42239,9.49079,11.80943,11.52159,11.79594,9.71473
1961,7.41199,8.40314,10.88825,9.66592,2.94474,6.53601,5.87563,6.10743,7.87637,5.53663,5.11197,5.85717,3.7465,5.4279
1962,9.11548,10.24855,12.53736,9.65127,4.32137,3.04209,5.28204,6.00488,8.14073,4.79798,4.90111,7.03932,5.64862,5.54824
1963,7.07814,5.95744,7.97177,10.78454,4.48017,4.96819,3.78204,6.66376,6.67114,5.13405,4.74362,4.77886,3.52983,4.94081
1964,5.73133,8.56976,8.08865,8.03211,2.53984,4.0908,6.02575,5.30871,7.60954,4.52025,3.86955,5.49913,2.63648,3.75564
1965,6.90156,9.18091,9.31357,10.04311,7.42268,6.06013,4.7255,8.7813,9.80092,5.77805,7.43827,10.63425,6.6537,7.30336
1966,9.45308,10.36878,9.74255,11.77958,6.77833,5.23421,6.82286,7.80859,10.13628,6.88536,7.42511,7.53079,7.19337,8.73431
1967,7.49433,11.90278,6.97373,7.91192,6.27373,5.08308,6.6049,9.98757,11.4337,8.25591,9.04867,10.72769,7.31893,9.19567
1968,7.70015,8.60734,8.84182,10.33673,8.08193,7.19426,6.1853,9.5223,10.54659,7.20354,7.4039,9.65044,9.29925,8.85925
1969,5.92773,7.87084,4.58496,5.97967,7.24885,6.77356,4.84234,8.99384,7.01533,5.75345,7.63756,8.71333,8.09357,8.96214
1970,7.99865,10.42042,8.96976,7.57339,5.16993,4.49559,3.71796,4.36144,6.89905,5.21913,5.62465,7.21111,5.67892,4.94321
1971,6.29174,7.33929,5.7311,7.901,6.09267,6.18305,8.63945,6.63357,7.17344,7.51308,7.41446,8.02019,8.89013,6.30867
1972,4.4166,5.51645,6.96061,8.17753,4.83512,3.60511,1.80151,3.51603,7.49156,3.73273,7.64343,8.73217,5.34945,4.75272
1973,5.05825,11.25172,6.52238,8.0916,6.9936,5.0872,4.80465,5.1669,6.03815,4.33168,6.22377,7.04279,6.03737,6.40489
1974,6.61891,8.53851,6.42414,7.52928,4.99226,7.27254,8.30402,4.21591,6.24048,9.81101,9.84691,8.66683,4.62079,4.2205
1975,5.33947,8.51573,7.24032,4.39723,3.68298,5.5697,7.10239,5.04646,6.74617,7.09926,5.99522,5.43745,3.02053,4.30089
1976,7.76573,8.31201,7.04863,9.78878,4.79215,6.35562,4.96231,7.0842,5.65016,6.37741,7.60981,6.07537,6.3413,7.38278
1977,8.5009,8.91705,10.99961,7.64236,6.50966,4.73997,6.76633,7.37038,7.44528,7.34978,7.93029,8.09691,7.83746,6.21013
