Year,UK,UK trend,England,England trend,Wales,Wales trend,Scotland,Scotland trend,Northern Ireland,Northern Ireland trend
1884,-0.364399126,-1.074659526,-0.38871623,-1.250046496,-0.404985109,-1.10074656,-0.341760738,-0.854336701,-0.214017869,-0.633132555
1885,-1.478645342,-1.072453663,-1.538673315,-1.24841529,-1.552614795,-1.097286582,-1.427114274,-0.851770388,-1.103118274,-0.62962215
1886,-1.388324904,-1.062286623,-1.400717863,-1.23863273,-1.25571874,-1.08445261,-1.452280521,-0.841591135,-1.124970438,-0.620257263
1887,-1.331216055,-1.045726726,-1.679004685,-1.22416666,-1.596937808,-1.066983937,-0.810961479,-0.821609336,-0.586554767,-0.604983536
1888,-1.559663825,-1.028035561,-1.833505574,-1.206413708,-1.598114317,-1.046285568,-1.208444344,-0.803941877,-0.911251311,-0.592852478
1889,-0.824821178,-1.003034156,-1.14997,-1.179857253,-0.963845151,-1.017423449,-0.348077644,-0.780958053,-0.242875644,-0.577677899
1890,-0.882752712,-0.974722011,-1.202908712,-1.148501716,-1.036574356,-0.983020577,-0.425050986,-0.757281768,-0.219815151,-0.561944247
1891,-1.238496164,-0.949563426,-1.545109014,-1.11933052,-1.213388055,-0.950338167,-0.840166301,-0.738215478,-0.63483,-0.55253859
1892,-1.82346959,-0.921333206,-1.970337049,-1.086096091,-1.657861421,-0.915013611,-1.691667842,-0.717129786,-1.442477732,-0.542956632
1893,-0.057069945,-0.885291238,-0.206228055,-1.045771384,0.216819342,-0.873864625,0.038526164,-0.686306014,0.391172575,-0.526565086
1894,-0.654150493,-0.854776776,-0.827097014,-1.012256437,-0.56601074,-0.84097985,-0.43354189,-0.657868367,-0.407968438,-0.516977001
1895,-1.293471616,-0.831243109,-1.369444301,-0.986117603,-1.381322521,-0.815508241,-1.186340904,-0.635727343,-1.059896438,-0.51364378
1896,-0.580629317,-0.805460744,-0.761050137,-0.95904193,-0.616674809,-0.787552861,-0.322264727,-0.609299599,-0.295088497,-0.507248856
1897,-0.610025425,-0.780820225,-0.679189425,-0.931525582,-0.404002767,-0.759147123,-0.593679562,-0.586501217,-0.379830356,-0.505027444
1898,0.035231479,-0.76028955,-0.073634301,-0.907937885,0.041695425,-0.736339997,0.162203726,-0.567464529,0.316366329,-0.50802159
1899,-0.26771063,-0.742791316,-0.336776904,-0.88674655,-0.073170548,-0.715944698,-0.268304849,-0.552071591,0.045439096,-0.517206742
1900,-0.556000329,-0.725175706,-0.564102466,-0.865176263,-0.592078164,-0.696830868,-0.547637479,-0.535989553,-0.509147671,-0.529300965
1901,-0.757627836,-0.713763896,-0.986595808,-0.850359903,-0.851955041,-0.683102393,-0.37672326,-0.525507142,-0.625363616,-0.546603909
1902,-1.114424986,-0.705052331,-1.24901663,-0.836915418,-1.085871534,-0.670486098,-0.956308685,-0.520333902,-0.820313507,-0.566551002
