,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Consumer expenditure - not travel,81332.8,90320.3,87493.2,92203.5,87986.5,83680.2,95585.4,88687.8,91285.3,90873.2,91452.8,94138.5,90537.6,91772.3,93464.8,89502.9,86980.2,83345.9,85874.5,83013.7,93737,75528.2,83297.1,85321,72321.6,75754.2,77551.5,75463,78755.2
Consumer expenditure - travel,60756.6,60385.9,61370.7,61803.4,61032.4,60228.4,63806.4,64773.4,64606.1,65692.7,65515,66766.9,69219.6,68669.5,69753.1,70322.8,70359.8,70849.4,69435.4,68565.2,66945.5,66454.2,66421.9,66757.2,67054.8,67673.3,68445,68153.7,67353.8
