Label,Notation,Parent Notation,Sort Priority
Meals bought in workplace,meals-bought-in-workplace,,264
Holiday in the uk,holiday-in-the-uk,,265
Holiday abroad,holiday-abroad,,266
Room hire,room-hire,,267
Hairdressing beauty treatement,hairdressing-beauty-treatement,,268
Toilet paper,toilet-paper,,269
Toiletries,toiletries,,270
Bar of soap liquid soap shower gel,bar-of-soap-liquid-soap-shower-gel,,271
Toilet requisites,toilet-requisites,,272
Baby toiletries and accessories,baby-toiletries-and-accessories,,273
Hair products,hair-products,,274
Cosmetics and related accessories,cosmetics-and-related-accessories,,275
Electrical appliances for personal care,electrical-appliances-for-personal-care,,276
Jewellery clocks and watches and other personal effects,jewellery-clocks-and-watches-and-other-personal-effects,,277
Leather and travel goods,leather-and-travel-goods,,278
Sunglasses,sunglasses,,279
Baby equipment,baby-equipment,,280
Prams pram accessories,prams-pram-accessories,,281
Repairs to personal goods,repairs-to-personal-goods,,282
Residential homes,residential-homes,,283
Home help,home-help,,284
Nursery creche playschools,nursery-creche-playschools,,285
Child care payments,child-care-payments,,286
Structure insurance,structure-insurance,,287
Contents insurance,contents-insurance,,288
Insurance for household items,insurance-for-household-items,,289
Medical insurance premiums,medical-insurance-premiums,,290
Vehicle insurance,vehicle-insurance,,291
Boat insurance,boat-insurance,,292
Non package holiday other travel insurance,non-package-holiday-other-travel-insurance,,293
Moving and storage of furniture,moving-and-storage-of-furniture,,294
Property transaction purchase and sale,property-transaction-purchase-and-sale,,295
Property transaction sale only,property-transaction-sale-only,,296
Property transaction purchase only,property-transaction-purchase-only,,297
Property transaction other payments,property-transaction-other-payments,,298
Bank building society fees,bank-building-society-fees,,299
Bank and post office counter charges,bank-and-post-office-counter-charges,,300
Credit card fees,credit-card-fees,,301
Other professional fees,other-professional-fees,,302
Legal fees,legal-fees,,303
Funeral expenses,funeral-expenses,,304
Tu and professional organisations,tu-and-professional-organisations,,305
Other payments for services,other-payments-for-services,,306
Non profit instns serving households,non-profit-instns-serving-households,,307
Central government,central-government,,308
Local authorities,local-authorities,,309
Gross fixed capital formation,gross-fixed-capital-formation,,310
Valuables,valuables,,311
Changes in inventories,changes-in-inventories,,312
