Label,Notation,Parent Notation,Sort Priority
greenhouse gas emissions,greenhouse-gas-emissions,,1
emissions of carbon dioxide (CO2),emissions-of-carbon-dioxide-co2,,2
emissions of methane (CH4),emissions-of-methane-ch4,,3
emissions of nitrous oxide (N2O),emissions-of-nitrous-oxide-n2o,,4
emissions of hydrofluorocarbons (HFCs),emissions-of-hydrofluorocarbons-hfcs,,5
emissions of perfluorocarbons (PFCs),emissions-of-perfluorocarbons-pfcs,,6
emissions of sulphur hexafluoride (SF6),emissions-of-sulphur-hexafluoride-sf6,,7
emissions of nitrogen trifluoride (NF3),emissions-of-nitrogen-trifluoride-nf3,,8
