,period_start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
459,1900-04-01,74-46195999999999,125-93298999999999,97-78448,82-79693,29-58063,28-39984,22-48767,49-46066,74-12644,29-14814,44-78641,60-78816,31-13976,41.02552,30
460,1900-05-01,77-29911,97-28319,113-01311000000001,85-72058,38-480740000000004,31-76394,27-4042,40-58162,61-24785,33-69403,55-86404,81-39429,51-15934,39.2121,31
461,1900-06-01,97-79912,86-10618000000001,106-06483999999999,123-95643999999999,67-53062,64-44526,56-39943,111-44746,105-69389,70-23186,80-12234000000001,96-55256,67-58582,76.54889,30
462,1900-07-01,106-91346000000001,131-56416000000002,104-99476999999999,101-21689,50-93626,38-67048,31-46818,52-87178,66-14546,31-606540000000003,37-141909999999996,64-88150999999999,58-58639,55.80509,31
463,1900-08-01,122-22621000000001,134-36532,155-21208000000001,127-46789,105-27006000000002,82-39123000000001,72-58765,154-07648999999998,163-13537,73-16423,78-93415999999999,169-33202,100-22849000000001,141.78906,31
464,1900-09-01,86-04326999999999,161-55133,134-40221,68-24806,17-845879999999998,15-323220000000001,19-97929,31-38812,66-61123,21-90447,31-97601,56-58028,20-53358,24.15072,30
465,1900-10-01,131-28011,196-34815,189-08389,137-22606000000002,64-8858,49-0334,45-79988,159-2946,170-61777,60-328230000000005,92-90885,182-96371000000002,87-78716999999999,119.47748999999999,31
466,1900-11-01,143-02335,139-44065,164-04143,171-05823999999998,60-74103,49-876740000000005,49-1319,112-97797,106-09665,74-32855,110-11781,141-36837,63-718430000000005,90.88739,30
467,1900-12-01,181-74733,302-91787,256-6538,123-32567,101-9661,66-13983,66-41155,87-81855999999999,175-72771,95-69181999999999,165-8978,196-11747,114-35978,95.1376,31
468,1901-01-01,83-60937,123-08376000000001,104-58714,97-17505,32-1643,15-31655,19-29326,57-91644,73-66082,29-64378,78-25376,105-04229,43-99878,50.8626,31
469,1901-02-01,58-23299,107-80558,60-0957,53-662209999999995,36-289770000000004,26-87108,29-312520000000003,49-05147,46-65905,44-29691,39-42099,48-94986,32-6358,50.39298,28
470,1901-03-01,78-26495,110-04218999999999,81-20649,93-36489,52-901630000000004,51-56234,52-63353000000001,69-27929,84-80638,54-00969,77-08254000000001,121-98194,59-788990000000005,69.30924,31
471,1901-04-01,80-17811,103-63894,120-98728,86-90935,44-9854,51-692840000000004,49-81289,42-58252,72-44742,57-86901999999999,90-37080999999999,108-99358000000001,59-82492,53.0409,30
472,1901-05-01,64-70855999999999,41-5758,54-891740000000006,58-121159999999996,30-818109999999997,25-417720000000003,22-00264,59-0696,36-410779999999995,25-57423,33-81402,32-462270000000004,27-271290000000004,32.04027,31
473,1901-06-01,76-40305,114-46433,110-87481000000001,89-21308,42-14485,36-54772,35-138740000000006,43-94608,61-97495,39-77818,56-127880000000005,82-60151,60-6471,39.67765,30
474,1901-07-01,56-10024,86-80248,53-34745,39-84329,75-57875,40-38889,62-33716999999999,70-62588000000001,51-96237,62-677440000000004,61-74799,74-42702,75-47485999999999,60.36046999999999,31
475,1901-08-01,114-52401,138-18488,158-98338,117-09648999999999,45-80121,35-78385,47-3198,73-70619,100-16337,52-34667,59-22113,122-75691,57-632780000000004,57.288140000000006,31
476,1901-09-01,72-15005,88-16726,127-83349,107-19835,26-69606,28-31871,36-6035,34-11977,53-968740000000004,45-20043,79-26478,83-76914000000001,32-75465,31.01033,30
477,1901-10-01,100-12901,167-8095,175-82943999999998,118-79606000000001,46-27928,51-80948,53-20436,65-50926,114-57885,60-37121,66-7672,116-20289,51-685990000000004,60.02328000000001,31
478,1901-11-01,88-19993000000001,126-70998,144-73899,118-70119,52-4056,33-975190000000005,14-79014,139-13709,136-30729,16-86607,27-79539,99-52453,39-79528,124.92826000000001,30
479,1901-12-01,136-5332,194-13691,170-7935,121-77551000000001,123-57864,87-1578,85-49076,110-34284,142-15096,114-88996999999999,172-58836000000002,195-63066,114-29642,134.28175,31
480,1902-01-01,70-95067,157-22495,139-1901,71-5393,29-77885,18-97343,19-25035,35-31322,85-9758,25-00296,46-7315,80-45938000000001,32-275490000000005,41.983129999999996,31
481,1902-02-01,42-91033,52-609519999999996,63-8227,81-71909000000001,38-25291,24-32977,25-91724,39-335390000000004,44-3167,37-761990000000004,43-7072,48-919579999999996,32-87683,38.14615,28
482,1902-03-01,60-89249,165-26088000000001,115-14763,65-59739,37-68207,29-752779999999998,41-50505,38-312490000000004,79-3558,45-46317,66-43626,88-23113000000001,42-22291,41.33266,31
483,1902-04-01,71-50986,75-66951999999999,66-47270999999999,79-4127,47-5087,23-86009,13-94576,48-239779999999996,60-77443,28-5096,51-290690000000005,65-09459,55-1417,47.1313,30
484,1902-05-01,79-37209,112-56539,83-19295,120-40945,70-34482,73-22332,65-84795,73-14028,84-73816,60-270669999999996,61-233540000000005,94-10656999999999,69-98808000000001,71.4516,31
485,1902-06-01,62-85246,68-94202,51-247009999999996,63-9913,57-632509999999996,70-00349,92-53721,59-64085,38-75738,78-68590999999999,86-67424,87-21965,61-80678,50.70963,30
486,1902-07-01,87-03103,91-96866999999999,102-34478,101-82070999999999,38-85212,42-21269,34-8241,80-60204,91-20141,33-81183,55-043209999999995,65-2672,41-29343,66.54675999999999,31
487,1902-08-01,81-6261,101-03775,96-22173000000001,84-46025,85-24325999999999,79-69615999999999,88-12311,54-51963000000001,84-73124,97-82183,84-9169,94-15828,102-69506,69.27199,31
488,1902-09-01,66-80108,108-16309,129-56327,105-3426,33-726659999999995,27-33918,32-30879,33-711,52-42142,31-01555,60-92568000000001,70-14877,42-14593,29.323659999999997,30
489,1902-10-01,71-39835,153-17868,100-62493,58-86116,65-54026,38-88847,37-24929,74-76501999999999,112-18146000000002,53-94092,77-21261,126-77566000000002,74-00098,87.02833000000001,31
490,1902-11-01,105-09998999999999,72-14111,131-25572,120-2738,44-45892,35-70329,42-299609999999994,48-04906,77-54933,69-6703,113-31294,119-36033,58-29424,52.14006,30
491,1902-12-01,150-27494,189-53791,166-88252,98-53901,46-44263,32-59281,35-21813,102-1292,123-9394,46-09039,75-80458,121-92868,50-340959999999995,77.18733,31
492,1903-01-01,180-43353000000002,236-11737999999997,227-47489,173-70135,52-922109999999996,45-353,56-8032,102-61806999999999,145-2043,70-00426999999999,112-70753,176-76646000000002,66-06862,79.87702,31
493,1903-02-01,172-9623,259-98601,217-31982999999997,91-56873,26-341359999999998,13-57434,25-34293,73-70291,141-21095,38-4157,56-31443,119-3457,42-69124,66.82034,28
494,1903-03-01,175-85392,242-3504,261-97492,152-96666000000002,84-78815999999999,53-28671,59-406180000000006,76-93685,173-76086999999998,79-17264,130-29215,218-48549,107-77103999999999,104.07518,31
495,1903-04-01,53-77556,100-47578,54-983940000000004,51-19171,44-57782,45-32795,46-771229999999996,43-47503,53-64134,59-66619,68-83398000000001,68-99495,44-53304,50.00142,30
496,1903-05-01,54-50337,80-91611,85-66204,81-72066,76-90982,61-677690000000005,65-71599,61-92669,90-46751,79-4579,90-90285,100-47829,80-68491,93.07746,31
497,1903-06-01,63-43825,61-12234,68-56969000000001,52-08229,47-25395,96-47986999999999,154-50337,63-22671999999999,50-26893,114-21395,77-42357,60-34828,54-22881999999999,50.54083,30
498,1903-07-01,144-99993,150-25003999999998,134-58801,121-81406000000001,63-83878000000001,109-93444,128-8567,127-36115,114-80523000000001,98-45615,97-50702,102-63821,69-59801999999999,89.54651,31
499,1903-08-01,148-84212,219-82825,225-09472000000002,157-76943,116-50506000000001,89-91758,105-43347,84-55745,166-00099,98-75315,116-15881999999999,194-55146000000002,116-331,85.96467,31
500,1903-09-01,95-11104,119-98555,120-82502,96-79823,81-47589,64-71164,67-66107,84-8346,149-16427,65-39253000000001,98-5892,163-77024,92-1151,107.7946,30
501,1903-10-01,219-58497000000003,261-9188,303-3706,179-04315,162-02143,125-79948,148-9078,240-71916000000002,261-96682999999996,183-56995,232-50294,321-50096,163-25126,218.18651,31
502,1903-11-01,74-68514,184-81641000000002,128-00374,81-56945,51-767790000000005,49-18224,49-4493,66-05269,100-82038,53-98862,64-5432,117-26856000000001,56-054080000000006,56.47006,30
503,1903-12-01,99-14107,85-12686,139-57551999999998,97-27028,31-510709999999996,30-49902,39-16212,61-9247,90-67898000000001,57-20328000000001,112-65664,121-24176999999999,50-098259999999996,45.59925,31
504,1904-01-01,98-09455,171-65516000000002,155-77147,116-25123,58-80766,47-01834,67-8951,69-13427,129-05548000000002,102-65392,132-22249,163-38087,72-14985,74.27868000000001,31
505,1904-02-01,111-00536000000001,126-05163999999999,128-09503,121-1097,82-30161,64-79890999999999,68-13436,73-55819,107-14148,90-49396,146-99414,159-53423,96-31105,90.96500999999999,29
506,1904-03-01,68-86589000000001,70-82781,94-02852,70-80471,44-7036,37-84531,37-369820000000004,54-22988,84-73663,37-12788,53-55996,73-19069,40-15007,54.85678000000001,31
507,1904-04-01,106-10813,219-65322999999998,158-81445,75-01632,31-030279999999998,21-12227,25-708479999999998,50-55725,94-10524000000001,32-17798,42-67962,80-05695,34-0309,52.3169,30
508,1904-05-01,84-84541999999999,109-00583,95-44646999999999,73-17479,48-371179999999995,44-877159999999996,56-23036999999999,77-72993000000001,78-52184,77-2444,79-93412,81-2599,56-13706,76.38436999999999,31
509,1904-06-01,55-2843,82-34076999999999,73-134,41-6277,17-05985,20-207639999999998,22-96655,53-149269999999994,51-85313,27-05395,32-98878,51-00393,19-42961,29.24965,30
510,1904-07-01,60-794819999999994,58-71938000000001,103-05514000000001,102-7556,72-85348,64-4052,52-88644,45-09086,63-67841,49-53,116-90288999999999,82-16481,59-6342,59.67734,31
511,1904-08-01,123-80885,156-57334,163-9928,156-133,81-17578,54-26048,45-74927,80-26365,118-55989,55-723490000000005,83-54082,120-70405,74-6253,94.50583,31
512,1904-09-01,85-19164,124-89513999999998,132-42962,96-4213,50-71434,39-16174,31-56138,31-121370000000002,61-58875,44-160090000000004,65-58835,88-85486,50-88402,36.071509999999996,30
513,1904-10-01,47-70071,123-46954,97-90465,54-49091,20-62947,29-08352,41-31552,22-60141,64-13699,49-292629999999996,51-74608,70-39001999999999,19-898410000000002,23.46523,31
514,1904-11-01,53-17804,133-09416000000002,120-51105,97-90287,32-738890000000005,34-9427,39-683170000000004,82-5714,95-38755,40-51328,65-1824,92-97556,38-743809999999996,65.53675,30
515,1904-12-01,106-98513999999999,177-53933,147-04811999999998,75-97804000000001,43-741929999999996,47-48814,51-472570000000005,61-90475,105-22741,75-31874,88-37302,122-64549,49-988,57.967569999999995,31
516,1905-01-01,50-25695,169-92852,110-45263,79-28444,23-42756,25-01794,28-224890000000002,19-316979999999997,61-92275,25-70618,38-106429999999996,62-3784,24-654510000000002,27.016890000000004,31
517,1905-02-01,66-18271999999999,176-71811,121-97263000000001,73-52185,22-07937,25-33659,19-7805,35-484190000000005,67-00159000000001,19-69569,31-33326,61-433530000000005,24-12571,40.088159999999995,28
518,1905-03-01,132-1726,175-82035,161-09303,122-08528999999999,63-757259999999995,55-483830000000005,80-00694,61-92231999999999,108-40266000000001,101-87938,140-41606000000002,180-41086,89-63193000000001,70.65716,31
519,1905-04-01,81-8254,88-79673000000001,97-67011,67-88818,47-79562,47-33767,44-53995,89-92804,99-50851,52-710119999999996,74-85242,111-25735,55-26465,71.16286,30
520,1905-05-01,50-523709999999994,78-70815,69-2604,50-29599,19-25025,28-04448,25-349120000000003,23-53346,40-33858,22-72237,12-57514,29-4076,14-48042,20.26173,31
521,1905-06-01,35-71605,43-41471,52-089209999999994,71-44926,73-57744,86-91885,114-23471,28-187620000000003,65-90576999999999,109-38099,85-87956,77-56598000000001,71-1999,49.138690000000004,30
522,1905-07-01,66-02583,95-02509,96-34281999999999,56-09244,38-1017,23-67323,23-64588,32-33892,59-84908000000001,17-88111,23-05552,63-307,39-04317,38.37308,31
523,1905-08-01,117-94583999999999,132-35095,149-2369,169-36871000000002,83-20563,64-12949,65-27283,103-77065999999999,126-14811999999999,77-00435,125-171,169-21194,120-17669,97.22385,31
524,1905-09-01,67-22348000000001,144-44914,101-62509,55-66636999999999,51-711059999999996,51-23353,44-68221,66-1531,84-02134000000001,52-93165,45-85434,65-81753,34-51575,61.18925,30
525,1905-10-01,98-21124,159-28235,129-63914,57-61362,42-09987,49-85537,30-72208,82-24224,96-68961,45-352579999999996,62-9134,93-16365,41-46506,66.19326,31
526,1905-11-01,176-76497,164-42301,156-70113999999998,117-56635,74-52858,55-7002,78-6347,141-31741,127-93723999999999,104-61126999999999,124-66548999999999,140-82355,75-74266999999999,118.97145,30
527,1905-12-01,70-70831,134-04166999999998,130-89729,78-71441,18-110689999999998,21-64771,17-3218,23-088,52-81511,22-43056,36-40981,43-86885,18-1052,17.99587,31
528,1906-01-01,126-05108,236-01675,186-60044,130-17383999999998,86-09338000000001,83-16492,97-14388000000001,86-68032,163-76266999999999,126-65395,166-62313,208-49578,104-74168,102.77943,31
529,1906-02-01,76-0931,166-21253000000002,117-69653000000001,93-11725,59-84675,50-414429999999996,47-67501,38-11228,88-42705,64-01356,96-38917,119-7682,53-61428000000001,63.45671,28
530,1906-03-01,80-00672,139-52826000000002,112-59146000000001,79-59821,44-8942,41-588029999999996,28-68185,49-53945,88-09283,39-766459999999995,49-45892,101-41201,37-10808,55.52265,31
531,1906-04-01,46-81512,101-0371,61-286530000000006,80-17934,19-6657,19-058770000000003,15-21897,32-099940000000004,43-93741,21-93555,31-97734,40-56221,29-685540000000003,25.91295,30
532,1906-05-01,159-43998,136-95603,164-91068,116-60718,46-49495,38-28287,34-66689,135-0656,141-9081,52-58541999999999,84-20948,126-92416999999999,61-22085,79.86784,31
533,1906-06-01,35-56033,34-32665,45-57778,33-87475,62-55701,73-1584,67-97527,42-80382,52-461569999999995,60-34697,59-378780000000006,68-46878000000001,60-13315,37.6774,30
534,1906-07-01,62-23794,138-96917,101-53179,66-09832,21-55181,17-742060000000002,23-31189,47-41537,63-101209999999995,19-177229999999998,34-84471,39-82208,22-1286,40.18047,31
535,1906-08-01,142-2556,119-47896999999999,172-47096000000002,129-0395,41-23905,33-55307,24-15377,109-39698,130-60209,25-82617,55-9375,131-51799,42-68124,72.30601,31
536,1906-09-01,45-4693,85-79641,69-79559,41-18264,28-2682,32-327870000000004,42-90377,18-95755,46-30216,33-73915,26-553240000000002,38-81566,29-44329,22.096,30
537,1906-10-01,179-39243000000002,168-38394,217-66386,135-51283999999998,126-45998,92-12451,90-69751,156-05001000000001,179-19692,125-28832,153-98763,221-31642999999997,125-28213000000001,149.32882,31
538,1906-11-01,149-54263999999998,218-33675,147-7656,101-47134,84-6784,95-07649,102-29419,92-38538,106-63378999999999,124-6101,106-53338000000001,112-28926000000001,70-8187,95.32986,30
539,1906-12-01,90-65091,178-96931999999998,160-99495,118-0551,63-9956,56-935230000000004,51-42575,78-79171,113-82484,57-902840000000005,73-51142,128-33376,61-12366,72.02118,31
540,1907-01-01,62-650690000000004,157-90413,103-59722,62-20086,26-02279,28-200490000000002,22-74604,23-00102,51-34726,24-703139999999998,42-17414,85-1582,33-29197,34.009209999999996,31
541,1907-02-01,82-20853000000001,165-63188,125-78443999999999,78-29926,36-89288,30-29859,31-30022,43-75265,68-84186,38-3017,45-73512,74-00561,33-0226,50.55075,28
542,1907-03-01,78-18358,137-28448,149-28207,116-69248,36-32452,27-16194,21-985979999999998,47-1126,103-67775,23-252570000000002,26-913009999999996,69-49231,27-77911,54.367419999999996,31
543,1907-04-01,76-2003,86-94977,91-14287,74-78795,53-552569999999996,69-57764,79-38367,65-08712,60-39945,84-64853000000001,121-52093,99-99518,54-78475,54.1027,30
544,1907-05-01,115-53221,99-70355,139-87771999999998,120-32293,90-76756,64-60786999999999,46-766940000000005,106-41443999999998,113-53634,58-60265,76-37532,100-84103,83-89794,101.46198000000001,31
545,1907-06-01,120-31701000000001,160-24928,153-90111000000002,142-86867,67-81781,50-00586,55-42015,99-04645,181-64736000000002,55-3875,73-10639,147-04758,76-92806999999999,100.56170999999999,30
546,1907-07-01,67-56254,79-2946,85-94035,78-2774,59-680369999999996,46-13842,37-13004,53-7711,83-13863,46-74458,62-54667,94-01963,75-27783000000001,53.2686,31
547,1907-08-01,118-57073999999999,170-875,184-49663,109-74806000000001,60-42986,46-04761,48-98128,67-32329,126-65581999999999,48-627140000000004,63-46435,128-64834,68-38845,63.234930000000006,31
548,1907-09-01,36-02917,56-272169999999996,47-04231,34-5468,17-15706,14-4822,16-8239,13-35956,22-13682,16-38569,26-15111,32-11956,17-8684,19.45056,30
549,1907-10-01,165-81958,96-77375,200-39096,112-13552,117-12127,77-07494,80-33979000000001,167-91572,144-98713999999998,144-59898,192-02831,235-5762,150-77102,145.8566,31
550,1907-11-01,78-88494,137-58157,133-53818,83-80029,57-291019999999996,59-1286,53-65155,61-14804,98-71875,61-76942,92-47556999999999,110-37906000000001,59-81823000000001,74.93478,30
551,1907-12-01,131-24639,146-66382,194-4806,101-22948000000001,72-05996,72-4899,81-29896,103-76314,150-78597,91-52906,140-64816000000002,159-39784,76-92282,98.36501,31
552,1908-01-01,102-23406999999999,168-14993,175-32345,89-57669,31-35695,24-195710000000002,38-02698,55-057280000000006,117-04548999999999,42-26222,44-87203,102-50535,26-57605,53.63211,31
553,1908-02-01,69-158,168-26841000000002,121-59966999999999,87-21476,41-141220000000004,37-9952,33-55145,53-899390000000004,92-58521999999999,31-243740000000003,53-458709999999996,101-4418,35-29867,62.6852,29
554,1908-03-01,142-06283,182-01686,172-27691000000002,129-05004,67-1112,54-712180000000004,61-57192,112-09038999999999,106-69511000000001,74-62347,104-60889,137-14301,77-88616,93.8401,31
555,1908-04-01,55-98648000000001,82-95685,63-17115,88-88280999999999,68-22276,68-89715,61-11374,74-02355,68-47555,77-3132,70-70251999999999,88-85428,74-44951,71.63569,30
556,1908-05-01,62-23415,81-37725999999999,88-36788,68-1847,48-59527,36-538540000000005,43-30404,58-82,91-36654,45-79294,51-345459999999996,96-59938000000001,61-59254,60.64728,31
557,1908-06-01,52-42109,91-75628,92-93222,73-33468,38-03229,27-86032,45-75615,20-71823,68-09199,34-02834,20-82664,67-06756,51-016690000000004,32.56556,30
558,1908-07-01,87-98323,68-75165,117-57552,96-58854000000001,73-12096,80-86379000000001,83-76248000000001,77-22118,113-96457,65-25771,61-40515,139-11686,64-06096,86.39149,31
559,1908-08-01,88-68084,109-43093999999999,131-66796000000002,87-22547,71-06989,62-25283,74-51507,60-70854,125-28893000000001,92-63226,104-72726999999999,147-20516,87-76255,65.48361,31
560,1908-09-01,138-1,197-22178,191-37273000000002,141-30772,48-580090000000006,41-20251,36-9145,68-5435,137-82842,47-13796,72-82684,116-16661,59-00185,71.17271,30
561,1908-10-01,66-60273000000001,48-20078,53-175340000000006,54-9332,28-502959999999998,36-00432,48-95015,63-69308,63-27721999999999,46-2814,62-26497,71-53675,46-89439,39.57605,31
562,1908-11-01,81-90992,161-87685,126-09401000000001,96-65205,32-71989,28-15444,17-79521,47-47967,99-33406,29-19295,41-04846,104-70321,42-948479999999996,49.71927,30
563,1908-12-01,89-57240999999999,166-60485,169-16048,111-07263,42-59885,41-27397,48-84381,40-47439,95-67312,76-18296,98-66507,141-34648,60-492909999999995,52.68115,31
564,1909-01-01,108-94063,171-00759,173-62632,98-86426,27-58488,19-849420000000002,19-87288,55-01109,88-66388,25-351760000000002,47-2784,82-90012,32-186209999999996,38.32245,31
565,1909-02-01,44-32711,81-11353000000001,94-99351999999999,68-44315,18-59665,14-9774,14-11534,58-31971,69-0772,14-169020000000002,15-36248,32-2029,17-0933,37.577459999999995,28
566,1909-03-01,141-78994,78-80495,86-79035,112-51813,82-05686999999999,71-71417,72-59034,137-35307,94-27283,94-24016,126-91443999999998,124-25383000000001,73-72365,103.93248,31
567,1909-04-01,109-69533999999999,99-40034,123-89188999999999,116-30101,39-86594,37-64736,44-10067,79-84366999999999,92-2085,44-1618,64-46481,114-99548,52-02502,71.78289000000001,30
568,1909-05-01,84-49620999999999,94-57818,84-1661,60-898680000000006,34-06194,32-29595,36-98288,50-720079999999996,59-46156,39-87632,37-59264,48-01395,31-99292,48.42915,31
569,1909-06-01,48-59414,49-05942,83-22883,54-94784,80-08363,91-73657,90-06758,67-58225999999999,71-45741,89-82930999999999,84-56711,78-66542,83-94728,77.48552,30
570,1909-07-01,95-80897,124-04157,148-79176,100-9518,93-89146,82-74311999999999,83-00599,74-25990999999999,149-87486,74-84849,74-51052,122-15198000000001,79-45215,96.92277,31
571,1909-08-01,70-30026,111-00431999999999,93-9089,69-95504,73-76744000000001,55-2293,43-93274,89-48043,96-33628,66-80994,64-3628,75-75487,53-07039,99.98635,31
572,1909-09-01,60-613490000000006,79-2204,73-60419,69-59057,62-6608,53-241640000000004,62-59301,61-648869999999995,79-13586,83-66196,69-87334,123-23267,72-64138,58.08375,30
573,1909-10-01,163-65161,219-38856,242-9277,139-67107,87-09846,97-8748,99-99931,94-35845,178-41081,158-52426,177-40614,230-97531,95-79179,89.88744,31
574,1909-11-01,54-17513,159-66494,87-54314000000001,48-16887,16-46,23-2,20-2722,29-5654,57-048280000000005,22-30455,34-67212,65-31692,21-50248,30.044940000000004,30
575,1909-12-01,122-31746000000001,134-58764,190-94512,107-9218,113-88179,94-77285,67-92433,114-57621999999999,201-9782,104-5502,143-51598,215-43093,112-58215,136.84431,31
576,1910-01-01,110-3326,186-44613999999999,147-31123,91-16431999999999,51-26249,45-33017,43-8839,89-46197,138-91577,68-27554,116-26386000000001,146-60491000000002,60-945919999999994,94.67795,31
577,1910-02-01,118-49507,150-0667,201-36726000000002,161-14968000000002,63-89042,58-38455,73-05558,96-54496,155-72948,97-77093,138-98363999999998,171-57843,79-42782,88.52002,28
578,1910-03-01,63-51928,100-32143,91-84131,48-20568,17-15481,22-2467,26-14895,29-140220000000003,52-81052,32-14363,23-98688,50-99775,18-27134,21.12743,31
579,1910-04-01,111-66333,189-76494,123-12483999999999,68-73071,52-61537,52-30389,40-91441,71-8381,85-90071,55-32063,71-2053,109-50233999999999,58-81454,68.98904,30
580,1910-05-01,56-90108000000001,106-86436,80-83310999999999,63-656169999999996,65-08287,74-30490999999999,52-62595,60-35805,76-4402,57-80667,62-656940000000006,75-30764,49-45024,65.38096999999999,31
581,1910-06-01,48-614290000000004,57-3255,62-14388,99-58811,43-92107,49-06929,61-862480000000005,46-47104,64-1807,77-25317,89-73578,138-01023999999998,61-25983000000001,63.52686,30
582,1910-07-01,117-4738,105-7692,137-10021,108-09646000000001,68-86411,74-64164,66-29799,94-1167,125-8161,62-74225,78-13676,120-8562,67-73192,81.66849,31
583,1910-08-01,184-28527,162-30215,227-67902,180-61676,84-81123000000001,57-301759999999994,58-14796,109-37521000000001,173-3775,64-48007,121-01693,188-57808,115-17628,106.60285,31
584,1910-09-01,30-93739,60-553419999999996,46-81917,32-45793,17-64626,28-61942,17-88562,19-48743,15-08218,12-15431,8-80032,13-37786,16-02443,9.76418,30
585,1910-10-01,80-14758,102-0204,83-92271,47-12257,57-502069999999996,44-48531,59-63652,82-27958000000001,80-19595,93-56882,146-19231000000002,130-3875,77-62924,85.31090999999999,31
586,1910-11-01,120-2353,178-18251,126-8325,87-84616,92-52776999999999,80-30216999999999,79-45053,94-1625,139-88105,105-23443999999999,140-05451000000002,191-20901,118-09523999999999,100.85584,30
587,1910-12-01,119-47483999999999,157-33366999999998,170-5856,127-05995,120-73915,104-04120999999999,87-77084,73-52122,131-33671999999999,117-51969,178-56885,228-9881,137-74289,88.25480999999999,31
588,1911-01-01,51-803329999999995,117-95642,108-95526000000001,51-2048,31-27895,37-86612,31-09797,53-33328,53-35865,35-121520000000004,40-14884,54-79809,19-99861,42.568940000000005,31
589,1911-02-01,102-03317,184-96473,197-47088,103-80396,38-81386,32-83699,33-85688,53-781780000000005,136-33963,41-47466,64-50388000000001,112-11746000000001,42-50735,61.68184,28
590,1911-03-01,58-4981,96-03121,51-6831,42-675290000000004,45-70373,54-47133,42-3754,72-10562,51-00585,56-18161,72-70645999999999,73-95755,43-88818,48.289590000000004,31
591,1911-04-01,69-39104,123-372,123-53464,73-59176,28-581690000000002,27-850959999999997,43-66212,47-642379999999996,84-97388000000001,43-21737,56-23477,77-56263,26-9601,37.05315,30
592,1911-05-01,55-34611999999999,82-50135999999999,90-76290999999999,53-58727,32-21889,31-84042,38-25118,30-298840000000002,58-06168,41-043009999999995,35-399029999999996,57-20652,25-7926,35.10517,31
593,1911-06-01,74-79607,87-27877,84-25551,56-325469999999996,65-69973,67-80176999999999,56-479459999999996,122-25473000000001,97-26214,52-01747,66-83476,94-55975,55-00471999999999,90.7183,30
594,1911-07-01,52-87381,118-09279,91-7558,81-88264000000001,6-42721,11-43731,15-5106,21-17137,20-66445,10-08155,11-62079,20-332079999999998,11-10949,19.08234,31
595,1911-08-01,58-52291999999999,103-70151,99-27297,67-41758,48-529990000000005,27-6366,27-404120000000002,69-55069,90-84648,27-032770000000003,48-90895,119-6206,50-64386,65.85709,31
596,1911-09-01,38-6863,121-53168000000001,78-36206999999999,42-711,44-28873,44-92284,32-743359999999996,62-733169999999994,106-74505,35-00427,52-0604,109-63989,44-68671,76.14713,30
597,1911-10-01,87-77707,84-53169,118-77493,86-51094,57-45925,62-55434,78-51933000000001,93-46698,110-45682,104-00861,98-63636,128-24781000000002,57-31446999999999,75.27606999999999,31
598,1911-11-01,171-35884,210-20387000000002,188-46655,122-28736,67-14508000000001,82-37531,89-10768,116-67031000000001,144-17072,115-40505,123-27066,186-34623,72-64604,108.8815,30
599,1911-12-01,185-72992,189-79485,269-13063,179-7403,110-79739,98-43460999999999,116-88248,116-39278999999999,213-68687000000003,173-31293,241-53732000000002,281-98304,142-4568,134.40139,31
600,1912-01-01,130-15181,111-88208,143-07535,106-15721,91-03981999999999,74-11711,87-68842,86-92213000000001,109-05688,93-97029,126-22163,134-41558999999998,100-49426,104.82599,31
601,1912-02-01,93-38110999999999,114-75828,113-58317,95-93923000000001,36-91649,35-59885,41-419340000000005,70-74141999999999,68-12536,61-83279,88-08483000000001,98-3891,40-06617,49.84493,29
602,1912-03-01,100-2336,143-95373,169-9292,122-97679,73-95949,68-14095,72-45574,75-97924,163-08862,103-97273,158-51937,214-08016,102-23121,97.3669,31
603,1912-04-01,25-81352,135-41442,63-469269999999995,53-714859999999994,6-4326,5-81199,2-18322,8-68534,22-469720000000002,2-00202,6-3192900000000005,14-433829999999999,5-35124,9.59865,30
604,1912-05-01,50-04051,86-19566999999999,54-08206,38-13969,67-62550999999999,37-26157,28-79216,66-17265,63-300090000000004,37-534420000000004,50-65279,52-568819999999995,65-49176,78.08319,31
605,1912-06-01,112-92623999999999,112-13821000000002,165-17391,153-39876,100-18242,70-03195,74-99539,142-27114,152-54963,90-12106,140-01346999999998,155-79231000000001,116-92501000000001,140.37091999999998,30
606,1912-07-01,65-03423000000001,85-0763,92-33549000000001,113-01983999999999,109-65881999999999,75-30751,38-76807,88-37297,120-9387,53-05008,89-02062,131-94064,89-05382,114.93162,31
607,1912-08-01,137-02073000000001,154-08957,127-93356000000001,155-68121000000002,156-02061,178-11213999999998,118-40273,141-97059,168-54586,154-62317,220-37536,254-47758,174-48108,135.79797,31
608,1912-09-01,81-4046,75-05744,87-46003,31-5202,35-01381,58-49078000000001,60-1723,66-67329000000001,61-30353,68-74946,34-69047,30-953559999999996,24-53741,49.854820000000004,30
609,1912-10-01,128-84863,160-53598,153-53876,88-51543000000001,67-46084,52-2218,55-499230000000004,94-1298,127-16816999999999,88-6191,128-64674,163-27702,75-85767,83.56868,31
610,1912-11-01,98-2591,218-08847000000003,142-64233000000002,103-37934,58-61671,59-04983000000001,44-437020000000004,67-72625,118-78385,55-948190000000004,70-08354,127-34573,54-355090000000004,77.68309,30
