,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1.1.15.2 Yoghurt,881.1928274,837.0636103,894.6520627,966.267085,1049.319614,1000.161427,932.9108597,905.4377021,823.6570129,838.4331116,765.1748795,891.2451735,755.9925132,781.2335281,822.2311315,751.9879556,679.0237593,747.1620122
1.1.16 Butter,374.0338496,324.1154314,291.4291841,296.9777735,333.1577671,319.3631445,330.0054463,339.2255336,271.7863291,304.4319132,321.5846281,390.1311649,334.1659475,338.0471588,340.6648908,257.5206345,275.5019516,317.5145736
1.1.17 Margarine and other vegetable fats and peanut butter,580.1649511,540.2781677,531.927195,514.8505309,512.0732646,467.5032361,443.2685084,445.9595253,387.2274451,425.9581087,398.8312625,443.3140828,355.692946,341.7545303,326.9553402,331.1325979,339.5855033,390.7235408
1.1.18.1 Olive oil,272.0938382,322.9965858,231.4321347,245.9489999,187.3050236,199.3052526,156.9873126,140.6885062,134.6427344,129.4587699,142.5141406,130.2890193,149.0270534,104.8526968,121.1568814,125.766817,128.834911,150.1157568
1.1.18.2 Edible oils and other animal fats,380.5247591,369.7717878,263.6234614,279.4868626,182.2993946,145.1427669,145.0475175,180.4871441,158.7753419,162.4621134,177.762279,203.1399806,178.3391743,126.7130524,211.165781,157.599262,156.2639315,164.9349169
1.1.19.1 Citrus fuits,144.5171174,156.3627752,140.4421716,137.8887378,135.4233504,118.1542233,98.15782304,89.76689447,250.8135287,231.8651736,239.1137633,235.3135578,228.7487905,263.968727,259.2432797,257.6276516,250.2783561,62.72938757
1.1.19.2 Bananas,199.4097005,182.0669679,146.3271328,144.1727539,152.3119133,131.481509,103.436877,92.37421198,253.2531043,231.0819257,225.4982237,212.9270038,212.3590217,232.8894196,219.2609925,199.0754788,199.5795086,54.40665675
1.1.19.3 Apples,175.426348,181.3108382,163.1628359,161.2097393,152.8418943,138.6583256,116.1627836,99.73103364,291.2882081,252.4366801,248.6665432,255.3120021,259.6599545,273.926819,262.0663127,245.1416038,225.9749985,60.55085095
1.1.19.4 Pears,44.04428713,46.87760134,43.70087047,46.88769558,43.11563472,40.96010824,30.40525636,28.17172608,80.45942265,75.11504775,74.22703177,68.91019584,70.63490845,73.26430845,68.0156468,60.54329515,62.30198144,15.14463955
1.1.19.5 Stone fruits,110.5936988,123.8668835,110.2779287,116.2544988,123.9669997,112.5634144,81.04386756,71.51935197,195.9109991,181.7258622,187.155756,190.2652968,184.9813676,218.754739,258.7594073,242.8889412,244.1207399,64.94693412
